"No.","Time","Source","Destination","Protocol","Length","Info"
"76","23:23:51.549604","host","1.12.1","USB","29","URB_BULK out"
"77","23:23:51.652041","1.12.2","host","USB","29","URB_BULK in"
"78","23:23:52.090620","host","1.12.1","USB","29","URB_BULK out"
"79","23:23:52.226069","1.12.2","host","USB","29","URB_BULK in"
"80","23:23:52.607448","host","1.12.1","USB","29","URB_BULK out"
"81","23:23:52.718100","1.12.2","host","USB","29","URB_BULK in"
"82","23:23:53.137437","host","1.12.1","USB","29","URB_BULK out"
"83","23:23:53.292042","1.12.2","host","USB","29","URB_BULK in"
"84","23:23:53.646899","host","1.12.1","USB","29","URB_BULK out"
"85","23:23:53.784038","1.12.2","host","USB","29","URB_BULK in"
"86","23:23:54.161674","host","1.12.1","USB","29","URB_BULK out"
"87","23:23:54.276100","1.12.2","host","USB","29","URB_BULK in"
"88","23:23:54.701008","host","1.12.1","USB","29","URB_BULK out"
"89","23:23:54.850097","1.12.2","host","USB","29","URB_BULK in"
"90","23:23:55.199956","host","1.12.1","USB","29","URB_BULK out"
"91","23:23:55.342051","1.12.2","host","USB","29","URB_BULK in"
"92","23:23:55.742338","host","1.12.1","USB","29","URB_BULK out"
"93","23:23:55.834033","1.12.2","host","USB","29","URB_BULK in"
"94","23:23:56.276295","host","1.12.1","USB","29","URB_BULK out"
"95","23:23:56.408033","1.12.2","host","USB","29","URB_BULK in"
"96","23:23:56.804716","host","1.12.1","USB","29","URB_BULK out"
"97","23:23:56.900084","1.12.2","host","USB","29","URB_BULK in"
"98","23:23:57.313430","host","1.12.1","USB","29","URB_BULK out"
"99","23:23:57.474077","1.12.2","host","USB","29","URB_BULK in"
"100","23:23:57.844062","host","1.12.1","USB","29","URB_BULK out"
"101","23:23:57.966125","1.12.2","host","USB","29","URB_BULK in"
"102","23:23:58.354680","host","1.12.1","USB","29","URB_BULK out"
"103","23:23:58.458086","1.12.2","host","USB","29","URB_BULK in"
"104","23:23:58.853196","host","1.12.1","USB","29","URB_BULK out"
"105","23:23:58.950084","1.12.2","host","USB","29","URB_BULK in"
"106","23:23:59.403952","host","1.12.1","USB","29","URB_BULK out"
"107","23:23:59.524099","1.12.2","host","USB","29","URB_BULK in"
"108","23:23:59.932019","host","1.12.1","USB","29","URB_BULK out"
"109","23:24:00.016022","1.12.2","host","USB","29","URB_BULK in"
"110","23:24:00.436426","host","1.12.1","USB","29","URB_BULK out"
"111","23:24:00.590051","1.12.2","host","USB","29","URB_BULK in"
"112","23:24:00.976127","host","1.12.1","USB","29","URB_BULK out"
"113","23:24:01.082059","1.12.2","host","USB","29","URB_BULK in"
"114","23:24:01.532981","host","1.12.1","USB","29","URB_BULK out"
"115","23:24:01.656092","1.12.2","host","USB","29","URB_BULK in"
"116","23:24:01.768938","host","1.12.1","USB","97","URB_BULK out"
"117","23:24:01.979053","host","1.12.1","USB","103","URB_BULK out"
"118","23:24:02.077774","host","1.12.1","USB","29","URB_BULK out"
"119","23:24:02.230074","1.12.2","host","USB","29","URB_BULK in"
"120","23:24:02.264290","host","1.12.1","USB","29","URB_BULK out"
"121","23:24:02.394070","1.12.2","host","USB","29","URB_BULK in"
"122","23:24:02.579827","host","1.12.1","USB","29","URB_BULK out"
"123","23:24:02.722098","1.12.2","host","USB","29","URB_BULK in"
"124","23:24:03.073850","host","1.12.1","USB","29","URB_BULK out"
"125","23:24:03.214022","1.12.2","host","USB","29","URB_BULK in"
"126","23:24:03.576036","host","1.12.1","USB","29","URB_BULK out"
"127","23:24:03.705985","1.12.2","host","USB","29","URB_BULK in"
"128","23:24:04.106962","host","1.12.1","USB","29","URB_BULK out"
"129","23:24:04.198021","1.12.2","host","USB","29","URB_BULK in"
"130","23:24:04.581917","host","1.12.1","USB","29","URB_BULK out"
"131","23:24:04.690131","1.12.2","host","USB","29","URB_BULK in"
"132","23:24:05.102102","host","1.12.1","USB","29","URB_BULK out"
"133","23:24:05.264071","1.12.2","host","USB","29","URB_BULK in"
"134","23:24:05.627840","host","1.12.1","USB","29","URB_BULK out"
"135","23:24:05.756114","1.12.2","host","USB","29","URB_BULK in"
"136","23:24:06.156089","host","1.12.1","USB","29","URB_BULK out"
